State,Sex,Age group,COVID-19 Deaths,Pneumonia and COVID-19 Deaths
Illinois,Unknown,18-29 years,0,0
Illinois,Unknown,25-34 years,0,0
Illinois,Unknown,30-49 years,0,0
Illinois,Unknown,35-44 years,0,0
Illinois,Unknown,45-54 years,0,0
Illinois,Unknown,50-64 years,0,0
Illinois,Unknown,55-64 years,0,0
Illinois,Unknown,65-74 years,0,0
Illinois,Unknown,75-84 years,0,0
Illinois,Unknown,85 years and over,0,0
Indiana,All Sexes,All Ages,4116,1768
Indiana,Male,All Ages,2086,996
Indiana,Male,Under 1 year,0,0
Indiana,Male,0-17 years,0,0
Indiana,Male,1-4 years,0,0
Indiana,Male,5-14 years,0,0
Indiana,Male,15-24 years,0,0
Indiana,Male,18-29 years,0,0
Indiana,Male,25-34 years,11,0
Indiana,Male,30-49 years,64,32
Indiana,Male,35-44 years,24,14
Indiana,Male,45-54 years,74,34
Indiana,Male,50-64 years,286,148
Indiana,Male,55-64 years,244,128
Indiana,Male,65-74 years,532,268
Indiana,Male,75-84 years,614,293
Indiana,Male,85 years and over,584,253
Indiana,Female,All Ages,2030,772
Indiana,Female,Under 1 year,0,0
Indiana,Female,0-17 years,0,0
Indiana,Female,1-4 years,0,0
Indiana,Female,5-14 years,0,0
Indiana,Female,15-24 years,0,0
Indiana,Female,18-29 years,0,0
Indiana,Female,25-34 years,0,0
Indiana,Female,30-49 years,39,19
Indiana,Female,35-44 years,19,0
Indiana,Female,45-54 years,49,28
Indiana,Female,50-64 years,176,93
Indiana,Female,55-64 years,145,75
Indiana,Female,65-74 years,331,152
Indiana,Female,75-84 years,581,244
Indiana,Female,85 years and over,899,263
Indiana,Unknown,All Ages,0,0
Indiana,Unknown,Under 1 year,0,0
Indiana,Unknown,0-17 years,0,0
Indiana,Unknown,1-4 years,0,0
Indiana,Unknown,5-14 years,0,0
Indiana,Unknown,15-24 years,0,0
Indiana,Unknown,18-29 years,0,0
Indiana,Unknown,25-34 years,0,0
Indiana,Unknown,30-49 years,0,0
Indiana,Unknown,35-44 years,0,0
Indiana,Unknown,45-54 years,0,0
Indiana,Unknown,50-64 years,0,0
Indiana,Unknown,55-64 years,0,0
Indiana,Unknown,65-74 years,0,0
Indiana,Unknown,75-84 years,0,0
Indiana,Unknown,85 years and over,0,0
Iowa,All Sexes,All Ages,1638,492
Iowa,Male,All Ages,843,270
Iowa,Male,Under 1 year,0,0
Iowa,Male,0-17 years,0,0
Iowa,Male,1-4 years,0,0
Iowa,Male,5-14 years,0,0
Iowa,Male,15-24 years,0,0
Iowa,Male,18-29 years,0,0
Iowa,Male,25-34 years,0,0
Iowa,Male,30-49 years,30,10
Iowa,Male,35-44 years,16,0
Iowa,Male,45-54 years,42,20
Iowa,Male,50-64 years,143,57
Iowa,Male,55-64 years,112,41
Iowa,Male,65-74 years,180,63
Iowa,Male,75-84 years,222,66
Iowa,Male,85 years and over,266,74
Iowa,Female,All Ages,795,222
Iowa,Female,Under 1 year,0,0
Iowa,Female,0-17 years,0,0
Iowa,Female,1-4 years,0,0
Iowa,Female,5-14 years,0,0
Iowa,Female,15-24 years,0,0
Iowa,Female,18-29 years,0,0
Iowa,Female,25-34 years,0,0
Iowa,Female,30-49 years,14,0
Iowa,Female,35-44 years,0,0
Iowa,Female,45-54 years,18,0
Iowa,Female,50-64 years,90,38
Iowa,Female,55-64 years,77,31
Iowa,Female,65-74 years,126,42
Iowa,Female,75-84 years,191,61
Iowa,Female,85 years and over,369,73
Iowa,Unknown,All Ages,0,0
Iowa,Unknown,Under 1 year,0,0
Iowa,Unknown,0-17 years,0,0
Iowa,Unknown,1-4 years,0,0
Iowa,Unknown,5-14 years,0,0
Iowa,Unknown,15-24 years,0,0
Iowa,Unknown,18-29 years,0,0
Iowa,Unknown,25-34 years,0,0
Iowa,Unknown,30-49 years,0,0
Iowa,Unknown,35-44 years,0,0
Iowa,Unknown,45-54 years,0,0
Iowa,Unknown,50-64 years,0,0
Iowa,Unknown,55-64 years,0,0
Iowa,Unknown,65-74 years,0,0
Iowa,Unknown,75-84 years,0,0
Iowa,Unknown,85 years and over,0,0
Kansas,All Sexes,All Ages,962,388
Kansas,Male,All Ages,548,226
Kansas,Male,Under 1 year,0,0
Kansas,Male,0-17 years,0,0
Kansas,Male,1-4 years,0,0
Kansas,Male,5-14 years,0,0
Kansas,Male,15-24 years,0,0
Kansas,Male,18-29 years,0,0
Kansas,Male,25-34 years,0,0
Kansas,Male,30-49 years,27,0
Kansas,Male,35-44 years,0,0
Kansas,Male,45-54 years,30,10
Kansas,Male,50-64 years,89,41
Kansas,Male,55-64 years,74,36
Kansas,Male,65-74 years,122,54
Kansas,Male,75-84 years,162,65
Kansas,Male,85 years and over,144,56
Kansas,Female,All Ages,414,162
Kansas,Female,Under 1 year,0,0
Kansas,Female,0-17 years,0,0
Kansas,Female,1-4 years,0,0
Kansas,Female,5-14 years,0,0
Kansas,Female,15-24 years,0,0
Kansas,Female,18-29 years,0,0
Kansas,Female,25-34 years,0,0
Kansas,Female,30-49 years,11,0
Kansas,Female,35-44 years,0,0
Kansas,Female,45-54 years,11,0
Kansas,Female,50-64 years,46,22
Kansas,Female,55-64 years,39,19
Kansas,Female,65-74 years,66,29
Kansas,Female,75-84 years,108,48
Kansas,Female,85 years and over,178,60
Kansas,Unknown,All Ages,0,0
Kansas,Unknown,Under 1 year,0,0
Kansas,Unknown,0-17 years,0,0
Kansas,Unknown,1-4 years,0,0
Kansas,Unknown,5-14 years,0,0
Kansas,Unknown,15-24 years,0,0
Kansas,Unknown,18-29 years,0,0
Kansas,Unknown,25-34 years,0,0
Kansas,Unknown,30-49 years,0,0
Kansas,Unknown,35-44 years,0,0
Kansas,Unknown,45-54 years,0,0
Kansas,Unknown,50-64 years,0,0
Kansas,Unknown,55-64 years,0,0
Kansas,Unknown,65-74 years,0,0
Kansas,Unknown,75-84 years,0,0
Kansas,Unknown,85 years and over,0,0
Kentucky,All Sexes,All Ages,1492,691
Kentucky,Male,All Ages,708,362
Kentucky,Male,Under 1 year,0,0
Kentucky,Male,0-17 years,0,0
Kentucky,Male,1-4 years,0,0
Kentucky,Male,5-14 years,0,0
Kentucky,Male,15-24 years,0,0
Kentucky,Male,18-29 years,0,0
Kentucky,Male,25-34 years,0,0
Kentucky,Male,30-49 years,31,15
Kentucky,Male,35-44 years,19,12
Kentucky,Male,45-54 years,29,13
Kentucky,Male,50-64 years,111,54
Kentucky,Male,55-64 years,90,43
Kentucky,Male,65-74 years,206,109
Kentucky,Male,75-84 years,189,102
Kentucky,Male,85 years and over,170,82
Kentucky,Female,All Ages,784,329
Kentucky,Female,Under 1 year,0,0
Kentucky,Female,0-17 years,0,0
Kentucky,Female,1-4 years,0,0
Kentucky,Female,5-14 years,0,0
Kentucky,Female,15-24 years,0,0
Kentucky,Female,18-29 years,0,0
Kentucky,Female,25-34 years,0,0
Kentucky,Female,30-49 years,13,0
Kentucky,Female,35-44 years,0,0
Kentucky,Female,45-54 years,19,0
Kentucky,Female,50-64 years,82,41
Kentucky,Female,55-64 years,70,36
Kentucky,Female,65-74 years,140,65
Kentucky,Female,75-84 years,216,100
Kentucky,Female,85 years and over,332,115
Kentucky,Unknown,All Ages,0,0
Kentucky,Unknown,Under 1 year,0,0
Kentucky,Unknown,0-17 years,0,0
Kentucky,Unknown,1-4 years,0,0
Kentucky,Unknown,5-14 years,0,0
Kentucky,Unknown,15-24 years,0,0
Kentucky,Unknown,18-29 years,0,0
Kentucky,Unknown,25-34 years,0,0
Kentucky,Unknown,30-49 years,0,0
Kentucky,Unknown,35-44 years,0,0
Kentucky,Unknown,45-54 years,0,0
Kentucky,Unknown,50-64 years,0,0
Kentucky,Unknown,55-64 years,0,0
Kentucky,Unknown,65-74 years,0,0
Kentucky,Unknown,75-84 years,0,0
Kentucky,Unknown,85 years and over,0,0
Louisiana,All Sexes,All Ages,5194,2537
Louisiana,Male,All Ages,2756,1392
Louisiana,Male,Under 1 year,0,0
Louisiana,Male,0-17 years,0,0
Louisiana,Male,1-4 years,0,0
Louisiana,Male,5-14 years,0,0
Louisiana,Male,15-24 years,10,0
Louisiana,Male,18-29 years,15,0
Louisiana,Male,25-34 years,21,11
Louisiana,Male,30-49 years,143,63
Louisiana,Male,35-44 years,61,33
Louisiana,Male,45-54 years,160,66
Louisiana,Male,50-64 years,503,256
Louisiana,Male,55-64 years,411,212
Louisiana,Male,65-74 years,726,380
Louisiana,Male,75-84 years,811,399
Louisiana,Male,85 years and over,554,288
Louisiana,Female,All Ages,2438,1145
Louisiana,Female,Under 1 year,0,0
Louisiana,Female,0-17 years,0,0
Louisiana,Female,1-4 years,0,0
Louisiana,Female,5-14 years,0,0
Louisiana,Female,15-24 years,0,0
Louisiana,Female,18-29 years,10,0
Louisiana,Female,25-34 years,17,10
Louisiana,Female,30-49 years,105,46
Louisiana,Female,35-44 years,56,25
Louisiana,Female,45-54 years,108,46
Louisiana,Female,50-64 years,383,188
Louisiana,Female,55-64 years,314,159
Louisiana,Female,65-74 years,471,228
Louisiana,Female,75-84 years,716,337
Louisiana,Female,85 years and over,751,337
Louisiana,Unknown,All Ages,0,0
Louisiana,Unknown,Under 1 year,0,0
Louisiana,Unknown,0-17 years,0,0
Louisiana,Unknown,1-4 years,0,0
Louisiana,Unknown,5-14 years,0,0
Louisiana,Unknown,15-24 years,0,0
Louisiana,Unknown,18-29 years,0,0
Louisiana,Unknown,25-34 years,0,0
Louisiana,Unknown,30-49 years,0,0
Louisiana,Unknown,35-44 years,0,0
Louisiana,Unknown,45-54 years,0,0
Louisiana,Unknown,50-64 years,0,0
Louisiana,Unknown,55-64 years,0,0
Louisiana,Unknown,65-74 years,0,0
Louisiana,Unknown,75-84 years,0,0
Louisiana,Unknown,85 years and over,0,0
Maine,All Sexes,All Ages,168,39
Maine,Male,All Ages,80,21
Maine,Male,Under 1 year,0,0
Maine,Male,0-17 years,0,0
Maine,Male,1-4 years,0,0
Maine,Male,5-14 years,0,0
Maine,Male,15-24 years,0,0
Maine,Male,18-29 years,0,0
Maine,Male,25-34 years,0,0
Maine,Male,30-49 years,0,0
Maine,Male,35-44 years,0,0
Maine,Male,45-54 years,0,0
Maine,Male,50-64 years,0,0
Maine,Male,55-64 years,0,0
Maine,Male,65-74 years,21,0
Maine,Male,75-84 years,23,0
Maine,Male,85 years and over,23,0
Maine,Female,All Ages,88,18
Maine,Female,Under 1 year,0,0
Maine,Female,0-17 years,0,0
Maine,Female,1-4 years,0,0
Maine,Female,5-14 years,0,0
Maine,Female,15-24 years,0,0
Maine,Female,18-29 years,0,0
Maine,Female,25-34 years,0,0
Maine,Female,30-49 years,0,0
Maine,Female,35-44 years,0,0
Maine,Female,45-54 years,0,0
Maine,Female,50-64 years,0,0
Maine,Female,55-64 years,0,0
Maine,Female,65-74 years,10,0
Maine,Female,75-84 years,27,0
Maine,Female,85 years and over,45,11
Maine,Unknown,All Ages,0,0
Maine,Unknown,Under 1 year,0,0
Maine,Unknown,0-17 years,0,0
Maine,Unknown,1-4 years,0,0
Maine,Unknown,5-14 years,0,0
Maine,Unknown,15-24 years,0,0
Maine,Unknown,18-29 years,0,0
Maine,Unknown,25-34 years,0,0
Maine,Unknown,30-49 years,0,0
Maine,Unknown,35-44 years,0,0
Maine,Unknown,45-54 years,0,0
Maine,Unknown,50-64 years,0,0
Maine,Unknown,55-64 years,0,0
Maine,Unknown,65-74 years,0,0
Maine,Unknown,75-84 years,0,0
Maine,Unknown,85 years and over,0,0
Maryland,All Sexes,All Ages,4427,1636
Maryland,Male,All Ages,2264,877
Maryland,Male,Under 1 year,0,0
Maryland,Male,0-17 years,0,0
Maryland,Male,1-4 years,0,0
Maryland,Male,5-14 years,0,0
Maryland,Male,15-24 years,0,0
Maryland,Male,18-29 years,20,0
Maryland,Male,25-34 years,32,12
Maryland,Male,30-49 years,144,49
Maryland,Male,35-44 years,70,25
Maryland,Male,45-54 years,141,56
Maryland,Male,50-64 years,437,170
Maryland,Male,55-64 years,352,132
Maryland,Male,65-74 years,502,207
Maryland,Male,75-84 years,633,257
Maryland,Male,85 years and over,528,185
Maryland,Female,All Ages,2163,759
Maryland,Female,Under 1 year,0,0
Maryland,Female,0-17 years,0,0
Maryland,Female,1-4 years,0,0
Maryland,Female,5-14 years,0,0
Maryland,Female,15-24 years,0,0
Maryland,Female,18-29 years,0,0
Maryland,Female,25-34 years,0,0
Maryland,Female,30-49 years,55,17
Maryland,Female,35-44 years,26,0
Maryland,Female,45-54 years,82,29
Maryland,Female,50-64 years,256,97
Maryland,Female,55-64 years,198,78
Maryland,Female,65-74 years,380,166
Maryland,Female,75-84 years,578,214
Maryland,Female,85 years and over,886,263
Maryland,Unknown,All Ages,0,0
Maryland,Unknown,Under 1 year,0,0
Maryland,Unknown,0-17 years,0,0
Maryland,Unknown,1-4 years,0,0
Maryland,Unknown,5-14 years,0,0
Maryland,Unknown,15-24 years,0,0
Maryland,Unknown,18-29 years,0,0
Maryland,Unknown,25-34 years,0,0
Maryland,Unknown,30-49 years,0,0
Maryland,Unknown,35-44 years,0,0
Maryland,Unknown,45-54 years,0,0
Maryland,Unknown,50-64 years,0,0
Maryland,Unknown,55-64 years,0,0
Maryland,Unknown,65-74 years,0,0
Maryland,Unknown,75-84 years,0,0
Maryland,Unknown,85 years and over,0,0
Massachusetts,All Sexes,All Ages,8189,2920
Massachusetts,Male,All Ages,3830,1502
Massachusetts,Male,Under 1 year,0,0
Massachusetts,Male,0-17 years,0,0
Massachusetts,Male,1-4 years,0,0
Massachusetts,Male,5-14 years,0,0
Massachusetts,Male,15-24 years,0,0
Massachusetts,Male,18-29 years,0,0
Massachusetts,Male,25-34 years,12,0
Massachusetts,Male,30-49 years,82,28
Massachusetts,Male,35-44 years,35,0
Massachusetts,Male,45-54 years,101,38
Massachusetts,Male,50-64 years,423,186
Massachusetts,Male,55-64 years,359,163
Massachusetts,Male,65-74 years,749,297
Massachusetts,Male,75-84 years,1162,462
Massachusetts,Male,85 years and over,1407,528
Massachusetts,Female,All Ages,4359,1418
Massachusetts,Female,Under 1 year,0,0
Massachusetts,Female,0-17 years,0,0
Massachusetts,Female,1-4 years,0,0
Massachusetts,Female,5-14 years,0,0
Massachusetts,Female,15-24 years,0,0
Massachusetts,Female,18-29 years,0,0
Massachusetts,Female,25-34 years,0,0
Massachusetts,Female,30-49 years,38,15
Massachusetts,Female,35-44 years,15,0
Massachusetts,Female,45-54 years,66,19
Massachusetts,Female,50-64 years,254,108
Massachusetts,Female,55-64 years,207,97
Massachusetts,Female,65-74 years,508,211
Massachusetts,Female,75-84 years,1080,393
Massachusetts,Female,85 years and over,2474,689
Massachusetts,Unknown,All Ages,0,0
Massachusetts,Unknown,Under 1 year,0,0
Massachusetts,Unknown,0-17 years,0,0
Massachusetts,Unknown,1-4 years,0,0
Massachusetts,Unknown,5-14 years,0,0
Massachusetts,Unknown,15-24 years,0,0
Massachusetts,Unknown,18-29 years,0,0
Massachusetts,Unknown,25-34 years,0,0
Massachusetts,Unknown,30-49 years,0,0
Massachusetts,Unknown,35-44 years,0,0
Massachusetts,Unknown,45-54 years,0,0
Massachusetts,Unknown,50-64 years,0,0
Massachusetts,Unknown,55-64 years,0,0
Massachusetts,Unknown,65-74 years,0,0
Massachusetts,Unknown,75-84 years,0,0
Massachusetts,Unknown,85 years and over,0,0
Michigan,All Sexes,All Ages,6581,3190
Michigan,Male,All Ages,3452,1747
Michigan,Male,Under 1 year,0,0
Michigan,Male,0-17 years,0,0
Michigan,Male,1-4 years,0,0
Michigan,Male,5-14 years,0,0
Michigan,Male,15-24 years,0,0
Michigan,Male,18-29 years,13,0
Michigan,Male,25-34 years,29,0
Michigan,Male,30-49 years,179,88
Michigan,Male,35-44 years,65,31
Michigan,Male,45-54 years,233,123
Michigan,Male,50-64 years,625,315
Michigan,Male,55-64 years,487,244
Michigan,Male,65-74 years,914,472
Michigan,Male,75-84 years,966,499
Michigan,Male,85 years and over,755,367
Michigan,Female,All Ages,3128,1442
Michigan,Female,Under 1 year,0,0
Michigan,Female,0-17 years,0,0
Michigan,Female,1-4 years,0,0
Michigan,Female,5-14 years,0,0
Michigan,Female,15-24 years,0,0
Michigan,Female,18-29 years,11,0
Michigan,Female,25-34 years,13,0
Michigan,Female,30-49 years,99,42
Michigan,Female,35-44 years,38,17
Michigan,Female,45-54 years,125,64
Michigan,Female,50-64 years,366,197
Michigan,Female,55-64 years,296,158
Michigan,Female,65-74 years,647,336
Michigan,Female,75-84 years,800,384
Michigan,Female,85 years and over,1204,476
Michigan,Unknown,All Ages,0,0
Michigan,Unknown,Under 1 year,0,0
Michigan,Unknown,0-17 years,0,0
Michigan,Unknown,1-4 years,0,0
Michigan,Unknown,5-14 years,0,0
Michigan,Unknown,15-24 years,0,0
Michigan,Unknown,18-29 years,0,0
Michigan,Unknown,25-34 years,0,0
Michigan,Unknown,30-49 years,0,0
Michigan,Unknown,35-44 years,0,0
Michigan,Unknown,45-54 years,0,0
Michigan,Unknown,50-64 years,0,0
Michigan,Unknown,55-64 years,0,0
Michigan,Unknown,65-74 years,0,0
Michigan,Unknown,75-84 years,0,0
Michigan,Unknown,85 years and over,0,0
Minnesota,All Sexes,All Ages,2289,665
Minnesota,Male,All Ages,1145,358
Minnesota,Male,Under 1 year,0,0
Minnesota,Male,0-17 years,0,0
Minnesota,Male,1-4 years,0,0
Minnesota,Male,5-14 years,0,0
Minnesota,Male,15-24 years,0,0
Minnesota,Male,18-29 years,0,0
Minnesota,Male,25-34 years,0,0
Minnesota,Male,30-49 years,30,11
Minnesota,Male,35-44 years,13,0
Minnesota,Male,45-54 years,48,21
Minnesota,Male,50-64 years,161,63
Minnesota,Male,55-64 years,127,49
Minnesota,Male,65-74 years,212,80
Minnesota,Male,75-84 years,334,97
Minnesota,Male,85 years and over,405,106
Minnesota,Female,All Ages,1144,307
Minnesota,Female,Under 1 year,0,0
Minnesota,Female,0-17 years,0,0
Minnesota,Female,1-4 years,0,0
Minnesota,Female,5-14 years,0,0
Minnesota,Female,15-24 years,0,0
Minnesota,Female,18-29 years,0,0
Minnesota,Female,25-34 years,0,0
Minnesota,Female,30-49 years,16,0
Minnesota,Female,35-44 years,0,0
Minnesota,Female,45-54 years,20,0
Minnesota,Female,50-64 years,72,27
Minnesota,Female,55-64 years,58,25
Minnesota,Female,65-74 years,166,62
Minnesota,Female,75-84 years,274,77
Minnesota,Female,85 years and over,613,136
Minnesota,Unknown,All Ages,0,0
Minnesota,Unknown,Under 1 year,0,0
Minnesota,Unknown,0-17 years,0,0
Minnesota,Unknown,1-4 years,0,0
Minnesota,Unknown,5-14 years,0,0
Minnesota,Unknown,15-24 years,0,0
Minnesota,Unknown,18-29 years,0,0
Minnesota,Unknown,25-34 years,0,0
Minnesota,Unknown,30-49 years,0,0
Minnesota,Unknown,35-44 years,0,0
Minnesota,Unknown,45-54 years,0,0
Minnesota,Unknown,50-64 years,0,0
Minnesota,Unknown,55-64 years,0,0
Minnesota,Unknown,65-74 years,0,0
Minnesota,Unknown,75-84 years,0,0
Minnesota,Unknown,85 years and over,0,0
Mississippi,All Sexes,All Ages,3124,1616
Mississippi,Male,All Ages,1557,836
Mississippi,Male,Under 1 year,0,0
Mississippi,Male,0-17 years,0,0
Mississippi,Male,1-4 years,0,0
Mississippi,Male,5-14 years,0,0
Mississippi,Male,15-24 years,0,0
Mississippi,Male,18-29 years,10,0
Mississippi,Male,25-34 years,16,0
Mississippi,Male,30-49 years,88,43
Mississippi,Male,35-44 years,38,22
Mississippi,Male,45-54 years,97,50
Mississippi,Male,50-64 years,297,167
Mississippi,Male,55-64 years,238,134
Mississippi,Male,65-74 years,446,246
Mississippi,Male,75-84 years,430,232
Mississippi,Male,85 years and over,286,141
Mississippi,Female,All Ages,1566,779
Mississippi,Female,Under 1 year,0,0
Mississippi,Female,0-17 years,0,0
Mississippi,Female,1-4 years,0,0
Mississippi,Female,5-14 years,0,0
Mississippi,Female,15-24 years,0,0
Mississippi,Female,18-29 years,12,0
Mississippi,Female,25-34 years,14,0
Mississippi,Female,30-49 years,91,43
Mississippi,Female,35-44 years,39,18
Mississippi,Female,45-54 years,101,47
Mississippi,Female,50-64 years,281,157
Mississippi,Female,55-64 years,225,131
Mississippi,Female,65-74 years,319,168
Mississippi,Female,75-84 years,395,202
Mississippi,Female,85 years and over,468,201
Mississippi,Unknown,All Ages,0,0
Mississippi,Unknown,Under 1 year,0,0
Mississippi,Unknown,0-17 years,0,0
Mississippi,Unknown,1-4 years,0,0
Mississippi,Unknown,5-14 years,0,0
Mississippi,Unknown,15-24 years,0,0
Mississippi,Unknown,18-29 years,0,0
Mississippi,Unknown,25-34 years,0,0
Mississippi,Unknown,30-49 years,0,0
Mississippi,Unknown,35-44 years,0,0
Mississippi,Unknown,45-54 years,0,0
Mississippi,Unknown,50-64 years,0,0
Mississippi,Unknown,55-64 years,0,0
Mississippi,Unknown,65-74 years,0,0
Mississippi,Unknown,75-84 years,0,0
Mississippi,Unknown,85 years and over,0,0
Missouri,All Sexes,All Ages,2814,1051
Missouri,Male,All Ages,1427,585
Missouri,Male,Under 1 year,0,0
Missouri,Male,0-17 years,0,0
Missouri,Male,1-4 years,0,0
Missouri,Male,5-14 years,0,0
Missouri,Male,15-24 years,0,0
Missouri,Male,18-29 years,0,0
Missouri,Male,25-34 years,0,0
Missouri,Male,30-49 years,38,14
Missouri,Male,35-44 years,18,0
Missouri,Male,45-54 years,58,25
Missouri,Male,50-64 years,200,81
Missouri,Male,55-64 years,161,64
Missouri,Male,65-74 years,335,139
Missouri,Male,75-84 years,445,201
Missouri,Male,85 years and over,404,149
Missouri,Female,All Ages,1387,466
Missouri,Female,Under 1 year,0,0
Missouri,Female,0-17 years,0,0
Missouri,Female,1-4 years,0,0
Missouri,Female,5-14 years,0,0
Missouri,Female,15-24 years,0,0
Missouri,Female,18-29 years,0,0
Missouri,Female,25-34 years,0,0
Missouri,Female,30-49 years,28,11
Missouri,Female,35-44 years,12,0
Missouri,Female,45-54 years,27,12
Missouri,Female,50-64 years,130,47
Missouri,Female,55-64 years,114,38
Missouri,Female,65-74 years,254,92
Missouri,Female,75-84 years,347,132
Missouri,Female,85 years and over,624,183
Missouri,Unknown,All Ages,0,0
Missouri,Unknown,Under 1 year,0,0
Missouri,Unknown,0-17 years,0,0
Missouri,Unknown,1-4 years,0,0
Missouri,Unknown,5-14 years,0,0
Missouri,Unknown,15-24 years,0,0
Missouri,Unknown,18-29 years,0,0
Missouri,Unknown,25-34 years,0,0
Missouri,Unknown,30-49 years,0,0
Missouri,Unknown,35-44 years,0,0
Missouri,Unknown,45-54 years,0,0
Missouri,Unknown,50-64 years,0,0
Missouri,Unknown,55-64 years,0,0
Missouri,Unknown,65-74 years,0,0
Missouri,Unknown,75-84 years,0,0
Missouri,Unknown,85 years and over,0,0
Montana,All Sexes,All Ages,252,104
Montana,Male,All Ages,145,58
Montana,Male,Under 1 year,0,0
Montana,Male,0-17 years,0,0
Montana,Male,1-4 years,0,0
Montana,Male,5-14 years,0,0
Montana,Male,15-24 years,0,0
Montana,Male,18-29 years,0,0
Montana,Male,25-34 years,0,0
Montana,Male,30-49 years,0,0
Montana,Male,35-44 years,0,0
Montana,Male,45-54 years,10,0
Montana,Male,50-64 years,22,10
Montana,Male,55-64 years,16,0
Montana,Male,65-74 years,39,16
Montana,Male,75-84 years,44,16
Montana,Male,85 years and over,33,12
Montana,Female,All Ages,107,46
Montana,Female,Under 1 year,0,0
Montana,Female,0-17 years,0,0
Montana,Female,1-4 years,0,0
Montana,Female,5-14 years,0,0
Montana,Female,15-24 years,0,0
Montana,Female,18-29 years,0,0
Montana,Female,25-34 years,0,0
Montana,Female,30-49 years,0,0
Montana,Female,35-44 years,0,0
Montana,Female,45-54 years,0,0
Montana,Female,50-64 years,17,0
Montana,Female,55-64 years,14,0
Montana,Female,65-74 years,19,12
Montana,Female,75-84 years,27,10
Montana,Female,85 years and over,38,12
Montana,Unknown,All Ages,0,0
Montana,Unknown,Under 1 year,0,0
Montana,Unknown,0-17 years,0,0
Montana,Unknown,1-4 years,0,0
Montana,Unknown,5-14 years,0,0
Montana,Unknown,15-24 years,0,0
Montana,Unknown,18-29 years,0,0
Montana,Unknown,25-34 years,0,0
Montana,Unknown,30-49 years,0,0
Montana,Unknown,35-44 years,0,0
Montana,Unknown,45-54 years,0,0
Montana,Unknown,50-64 years,0,0
Montana,Unknown,55-64 years,0,0
Montana,Unknown,65-74 years,0,0
Montana,Unknown,75-84 years,0,0
Montana,Unknown,85 years and over,0,0
Nebraska,All Sexes,All Ages,636,257
Nebraska,Male,All Ages,361,155
Nebraska,Male,Under 1 year,0,0
Nebraska,Male,0-17 years,0,0
Nebraska,Male,1-4 years,0,0
Nebraska,Male,5-14 years,0,0
Nebraska,Male,15-24 years,0,0
Nebraska,Male,18-29 years,0,0
Nebraska,Male,25-34 years,0,0
Nebraska,Male,30-49 years,16,0
Nebraska,Male,35-44 years,0,0
Nebraska,Male,45-54 years,21,0
Nebraska,Male,50-64 years,62,25
Nebraska,Male,55-64 years,47,19
Nebraska,Male,65-74 years,97,36
Nebraska,Male,75-84 years,103,51
Nebraska,Male,85 years and over,77,37
Nebraska,Female,All Ages,275,102
Nebraska,Female,Under 1 year,0,0
Nebraska,Female,0-17 years,0,0
Nebraska,Female,1-4 years,0,0
Nebraska,Female,5-14 years,0,0
Nebraska,Female,15-24 years,0,0
Nebraska,Female,18-29 years,0,0
Nebraska,Female,25-34 years,0,0
Nebraska,Female,30-49 years,0,0
Nebraska,Female,35-44 years,0,0
Nebraska,Female,45-54 years,0,0
Nebraska,Female,50-64 years,38,18
Nebraska,Female,55-64 years,31,14
Nebraska,Female,65-74 years,40,17
Nebraska,Female,75-84 years,70,33
Nebraska,Female,85 years and over,120,31
Nebraska,Unknown,All Ages,0,0
Nebraska,Unknown,Under 1 year,0,0
Nebraska,Unknown,0-17 years,0,0
Nebraska,Unknown,1-4 years,0,0
Nebraska,Unknown,5-14 years,0,0
Nebraska,Unknown,15-24 years,0,0
Nebraska,Unknown,18-29 years,0,0
Nebraska,Unknown,25-34 years,0,0
Nebraska,Unknown,30-49 years,0,0
Nebraska,Unknown,35-44 years,0,0
Nebraska,Unknown,45-54 years,0,0
Nebraska,Unknown,50-64 years,0,0
Nebraska,Unknown,55-64 years,0,0
Nebraska,Unknown,65-74 years,0,0
Nebraska,Unknown,75-84 years,0,0
Nebraska,Unknown,85 years and over,0,0
Nevada,All Sexes,All Ages,1625,1224
Nevada,Male,All Ages,1016,776
Nevada,Male,Under 1 year,0,0
Nevada,Male,0-17 years,0,0
Nevada,Male,1-4 years,0,0
Nevada,Male,5-14 years,0,0
Nevada,Male,15-24 years,0,0
Nevada,Male,18-29 years,0,0
Nevada,Male,25-34 years,0,0
Nevada,Male,30-49 years,80,60
Nevada,Male,35-44 years,37,27
Nevada,Male,45-54 years,110,91
Nevada,Male,50-64 years,223,181
Nevada,Male,55-64 years,153,121
Nevada,Male,65-74 years,265,202
Nevada,Male,75-84 years,290,216
Nevada,Male,85 years and over,153,115
Nevada,Female,All Ages,609,448
Nevada,Female,Under 1 year,0,0
Nevada,Female,0-17 years,0,0
Nevada,Female,1-4 years,0,0
Nevada,Female,5-14 years,0,0
Nevada,Female,15-24 years,0,0
Nevada,Female,18-29 years,0,0
Nevada,Female,25-34 years,0,0
Nevada,Female,30-49 years,25,16
Nevada,Female,35-44 years,13,0
Nevada,Female,45-54 years,30,21
Nevada,Female,50-64 years,100,75
Nevada,Female,55-64 years,81,61
Nevada,Female,65-74 years,161,126
Nevada,Female,75-84 years,178,131
Nevada,Female,85 years and over,140,97
Nevada,Unknown,All Ages,0,0
Nevada,Unknown,Under 1 year,0,0
