FIPS code,County,State,Full Form
13035,Butts County,GA,Georgia
13043,Candler County,GA,Georgia
13045,Carroll County,GA,Georgia
13051,Chatham County,GA,Georgia
13057,Cherokee County,GA,Georgia
13059,Clarke County,GA,Georgia
13063,Clayton County,GA,Georgia
13067,Cobb County,GA,Georgia
13069,Coffee County,GA,Georgia
13071,Colquitt County,GA,Georgia
13073,Columbia County,GA,Georgia
13077,Coweta County,GA,Georgia
13081,Crisp County,GA,Georgia
13087,Decatur County,GA,Georgia
13089,DeKalb County,GA,Georgia
13091,Dodge County,GA,Georgia
13095,Dougherty County,GA,Georgia
13097,Douglas County,GA,Georgia
13099,Early County,GA,Georgia
13103,Effingham County,GA,Georgia
13107,Emanuel County,GA,Georgia
13113,Fayette County,GA,Georgia
13115,Floyd County,GA,Georgia
13117,Forsyth County,GA,Georgia
13119,Franklin County,GA,Georgia
13121,Fulton County,GA,Georgia
13127,Glynn County,GA,Georgia
13129,Gordon County,GA,Georgia
13131,Grady County,GA,Georgia
13135,Gwinnett County,GA,Georgia
13137,Habersham County,GA,Georgia
13139,Hall County,GA,Georgia
13151,Henry County,GA,Georgia
13153,Houston County,GA,Georgia
13161,Jeff Davis County,GA,Georgia
13163,Jefferson County,GA,Georgia
13165,Jenkins County,GA,Georgia
13171,Lamar County,GA,Georgia
13175,Laurens County,GA,Georgia
13185,Lowndes County,GA,Georgia
13205,Mitchell County,GA,Georgia
13207,Monroe County,GA,Georgia
13215,Muscogee County,GA,Georgia
13217,Newton County,GA,Georgia
13219,Oconee County,GA,Georgia
13223,Paulding County,GA,Georgia
13227,Pickens County,GA,Georgia
13235,Pulaski County,GA,Georgia
13237,Putnam County,GA,Georgia
13245,Richmond County,GA,Georgia
13247,Rockdale County,GA,Georgia
13255,Spalding County,GA,Georgia
13257,Stephens County,GA,Georgia
13261,Sumter County,GA,Georgia
13267,Tattnall County,GA,Georgia
13275,Thomas County,GA,Georgia
13277,Tift County,GA,Georgia
13279,Toombs County,GA,Georgia
13285,Troup County,GA,Georgia
13291,Union County,GA,Georgia
13293,Upson County,GA,Georgia
13295,Walker County,GA,Georgia
13297,Walton County,GA,Georgia
13299,Ware County,GA,Georgia
13303,Washington County,GA,Georgia
13305,Wayne County,GA,Georgia
13313,Whitfield County,GA,Georgia
15001,Hawaii County,HI,Hawaii
15003,Honolulu County,HI,Hawaii
15009,Maui County,HI,Hawaii
19013,Black Hawk County,IA,Iowa
19033,Cerro Gordo County,IA,Iowa
19045,Clinton County,IA,Iowa
19049,Dallas County,IA,Iowa
19055,Delaware County,IA,Iowa
19057,Des Moines County,IA,Iowa
19061,Dubuque County,IA,Iowa
19063,Emmet County,IA,Iowa
19069,Franklin County,IA,Iowa
19077,Guthrie County,IA,Iowa
19085,Harrison County,IA,Iowa
19099,Jasper County,IA,Iowa
19103,Johnson County,IA,Iowa
19113,Linn County,IA,Iowa
19123,Mahaska County,IA,Iowa
19127,Marshall County,IA,Iowa
19139,Muscatine County,IA,Iowa
19149,Plymouth County,IA,Iowa
19153,Polk County,IA,Iowa
19155,Pottawattamie County,IA,Iowa
19157,Poweshiek County,IA,Iowa
19163,Scott County,IA,Iowa
19167,Sioux County,IA,Iowa
19169,Story County,IA,Iowa
19171,Tama County,IA,Iowa
19179,Wapello County,IA,Iowa
19183,Washington County,IA,Iowa
19187,Webster County,IA,Iowa
19189,Winnebago County,IA,Iowa
19193,Woodbury County,IA,Iowa
16001,Ada County,ID,Idaho
16005,Bannock County,ID,Idaho
16019,Bonneville County,ID,Idaho
16027,Canyon County,ID,Idaho
16055,Kootenai County,ID,Idaho
16069,Nez Perce County,ID,Idaho
16079,Shoshone County,ID,Idaho
16083,Twin Falls County,ID,Idaho
17001,Adams County,IL,Illinois
17007,Boone County,IL,Illinois
17011,Bureau County,IL,Illinois
17017,Cass County,IL,Illinois
17019,Champaign County,IL,Illinois
17021,Christian County,IL,Illinois
17029,Coles County,IL,Illinois
17031,Cook County,IL,Illinois
17037,DeKalb County,IL,Illinois
17043,DuPage County,IL,Illinois
17051,Fayette County,IL,Illinois
17061,Greene County,IL,Illinois
17077,Jackson County,IL,Illinois
17081,Jefferson County,IL,Illinois
17083,Jersey County,IL,Illinois
17089,Kane County,IL,Illinois
17091,Kankakee County,IL,Illinois
17095,Knox County,IL,Illinois
17097,Lake County,IL,Illinois
17099,LaSalle County,IL,Illinois
17109,McDonough County,IL,Illinois
17111,McHenry County,IL,Illinois
17113,McLean County,IL,Illinois
17115,Macon County,IL,Illinois
17119,Madison County,IL,Illinois
17135,Montgomery County,IL,Illinois
17137,Morgan County,IL,Illinois
17143,Peoria County,IL,Illinois
17159,Richland County,IL,Illinois
17161,Rock Island County,IL,Illinois
17163,St. Clair County,IL,Illinois
17167,Sangamon County,IL,Illinois
17179,Tazewell County,IL,Illinois
17195,Whiteside County,IL,Illinois
17197,Will County,IL,Illinois
17199,Williamson County,IL,Illinois
17201,Winnebago County,IL,Illinois
18003,Allen County,IN,Indiana
18005,Bartholomew County,IN,Indiana
18011,Boone County,IN,Indiana
18017,Cass County,IN,Indiana
18019,Clark County,IN,Indiana
18023,Clinton County,IN,Indiana
18027,Daviess County,IN,Indiana
18029,Dearborn County,IN,Indiana
18031,Decatur County,IN,Indiana
18033,De Kalb County,IN,Indiana
18035,Delaware County,IN,Indiana
18037,Dubois County,IN,Indiana
18039,Elkhart County,IN,Indiana
18041,Fayette County,IN,Indiana
18043,Floyd County,IN,Indiana
18053,Grant County,IN,Indiana
18055,Greene County,IN,Indiana
18057,Hamilton County,IN,Indiana
18059,Hancock County,IN,Indiana
18061,Harrison County,IN,Indiana
18063,Hendricks County,IN,Indiana
18065,Henry County,IN,Indiana
18067,Howard County,IN,Indiana
18071,Jackson County,IN,Indiana
18081,Johnson County,IN,Indiana
18083,Knox County,IN,Indiana
18085,Kosciusko County,IN,Indiana
18089,Lake County,IN,Indiana
18091,La Porte County,IN,Indiana
18093,Lawrence County,IN,Indiana
18095,Madison County,IN,Indiana
18097,Marion County,IN,Indiana
18099,Marshall County,IN,Indiana
18105,Monroe County,IN,Indiana
18107,Montgomery County,IN,Indiana
18109,Morgan County,IN,Indiana
18111,Newton County,IN,Indiana
18113,Noble County,IN,Indiana
18117,Orange County,IN,Indiana
18123,Perry County,IN,Indiana
18127,Porter County,IN,Indiana
18133,Putnam County,IN,Indiana
18141,St. Joseph County,IN,Indiana
18145,Shelby County,IN,Indiana
18157,Tippecanoe County,IN,Indiana
18159,Tipton County,IN,Indiana
18163,Vanderburgh County,IN,Indiana
18167,Vigo County,IN,Indiana
18173,Warrick County,IN,Indiana
18177,Wayne County,IN,Indiana
20037,Crawford County,KS,Kansas
20045,Douglas County,KS,Kansas
20051,Ellis County,KS,Kansas
20055,Finney County,KS,Kansas
20057,Ford County,KS,Kansas
20063,Gove County,KS,Kansas
20091,Johnson County,KS,Kansas
20111,Lyon County,KS,Kansas
20155,Reno County,KS,Kansas
20169,Saline County,KS,Kansas
20173,Sedgwick County,KS,Kansas
20175,Seward County,KS,Kansas
20177,Shawnee County,KS,Kansas
20209,Wyandotte County,KS,Kansas
21009,Barren County,KY,Kentucky
21013,Bell County,KY,Kentucky
21015,Boone County,KY,Kentucky
21019,Boyd County,KY,Kentucky
21021,Boyle County,KY,Kentucky
21037,Campbell County,KY,Kentucky
21045,Casey County,KY,Kentucky
21047,Christian County,KY,Kentucky
21059,Daviess County,KY,Kentucky
21067,Fayette County,KY,Kentucky
21073,Franklin County,KY,Kentucky
21083,Graves County,KY,Kentucky
21093,Hardin County,KY,Kentucky
21101,Henderson County,KY,Kentucky
21107,Hopkins County,KY,Kentucky
21111,Jefferson County,KY,Kentucky
21117,Kenton County,KY,Kentucky
21125,Laurel County,KY,Kentucky
21145,McCracken County,KY,Kentucky
21167,Mercer County,KY,Kentucky
21193,Perry County,KY,Kentucky
21195,Pike County,KY,Kentucky
21199,Pulaski County,KY,Kentucky
21209,Scott County,KY,Kentucky
21211,Shelby County,KY,Kentucky
21227,Warren County,KY,Kentucky
21235,Whitley County,KY,Kentucky
22001,Acadia Parish,LA,Louisiana
22003,Allen Parish,LA,Louisiana
22005,Ascension Parish,LA,Louisiana
22009,Avoyelles Parish,LA,Louisiana
22011,Beauregard Parish,LA,Louisiana
22015,Bossier Parish,LA,Louisiana
22017,Caddo Parish,LA,Louisiana
22019,Calcasieu Parish,LA,Louisiana
22027,Claiborne Parish,LA,Louisiana
22031,De Soto Parish,LA,Louisiana
22033,East Baton Rouge Parish,LA,Louisiana
22037,East Feliciana Parish,LA,Louisiana
22039,Evangeline Parish,LA,Louisiana
22041,Franklin Parish,LA,Louisiana
22043,Grant Parish,LA,Louisiana
22045,Iberia Parish,LA,Louisiana
22051,Jefferson Parish,LA,Louisiana
22053,Jefferson Davis Parish,LA,Louisiana
22055,Lafayette Parish,LA,Louisiana
22057,Lafourche Parish,LA,Louisiana
22061,Lincoln Parish,LA,Louisiana
22063,Livingston Parish,LA,Louisiana
22069,Natchitoches Parish,LA,Louisiana
22071,Orleans Parish,LA,Louisiana
22073,Ouachita Parish,LA,Louisiana
22077,Pointe Coupee Parish,LA,Louisiana
22079,Rapides Parish,LA,Louisiana
22087,St. Bernard Parish,LA,Louisiana
22089,St. Charles Parish,LA,Louisiana
22093,St. James Parish,LA,Louisiana
22095,St. John the Baptist Parish,LA,Louisiana
22097,St. Landry Parish,LA,Louisiana
22099,St. Martin Parish,LA,Louisiana
22101,St. Mary Parish,LA,Louisiana
22103,St. Tammany Parish,LA,Louisiana
22105,Tangipahoa Parish,LA,Louisiana
22109,Terrebonne Parish,LA,Louisiana
22111,Union Parish,LA,Louisiana
22113,Vermilion Parish,LA,Louisiana
22115,Vernon Parish,LA,Louisiana
22117,Washington Parish,LA,Louisiana
22119,Webster Parish,LA,Louisiana
22127,Winn Parish,LA,Louisiana
25001,Barnstable County,MA,Massachusetts
25003,Berkshire County,MA,Massachusetts
25005,Bristol County,MA,Massachusetts
25009,Essex County,MA,Massachusetts
25011,Franklin County,MA,Massachusetts
25013,Hampden County,MA,Massachusetts
25015,Hampshire County,MA,Massachusetts
25017,Middlesex County,MA,Massachusetts
25021,Norfolk County,MA,Massachusetts
25023,Plymouth County,MA,Massachusetts
25025,Suffolk County,MA,Massachusetts
25027,Worcester County,MA,Massachusetts
24001,Allegany County,MD,Maryland
24003,Anne Arundel County,MD,Maryland
24005,Baltimore County,MD,Maryland
24009,Calvert County,MD,Maryland
24013,Carroll County,MD,Maryland
24015,Cecil County,MD,Maryland
24017,Charles County,MD,Maryland
24021,Frederick County,MD,Maryland
24025,Harford County,MD,Maryland
24027,Howard County,MD,Maryland
24029,Kent County,MD,Maryland
24031,Montgomery County,MD,Maryland
24033,Prince George's County,MD,Maryland
24037,St. Mary's County,MD,Maryland
24041,Talbot County,MD,Maryland
24043,Washington County,MD,Maryland
24045,Wicomico County,MD,Maryland
24047,Worcester County,MD,Maryland
24510,Baltimore city,MD,Maryland
23001,Androscoggin County,ME,Maine
23005,Cumberland County,ME,Maine
23011,Kennebec County,ME,Maine
23027,Waldo County,ME,Maine
23031,York County,ME,Maine
26007,Alpena County,MI,Michigan
26017,Bay County,MI,Michigan
26021,Berrien County,MI,Michigan
26025,Calhoun County,MI,Michigan
26039,Crawford County,MI,Michigan
26043,Dickinson County,MI,Michigan
26049,Genesee County,MI,Michigan
26055,Grand Traverse County,MI,Michigan
26057,Gratiot County,MI,Michigan
26059,Hillsdale County,MI,Michigan
26065,Ingham County,MI,Michigan
26071,Iron County,MI,Michigan
26075,Jackson County,MI,Michigan
26077,Kalamazoo County,MI,Michigan
26081,Kent County,MI,Michigan
26087,Lapeer County,MI,Michigan
26093,Livingston County,MI,Michigan
26099,Macomb County,MI,Michigan
26103,Marquette County,MI,Michigan
26111,Midland County,MI,Michigan
26115,Monroe County,MI,Michigan
26121,Muskegon County,MI,Michigan
26125,Oakland County,MI,Michigan
26139,Ottawa County,MI,Michigan
26145,Saginaw County,MI,Michigan
26147,St. Clair County,MI,Michigan
26155,Shiawassee County,MI,Michigan
26157,Tuscola County,MI,Michigan
26161,Washtenaw County,MI,Michigan
26163,Wayne County,MI,Michigan
27003,Anoka County,MN,Minnesota
27013,Blue Earth County,MN,Minnesota
27027,Clay County,MN,Minnesota
27035,Crow Wing County,MN,Minnesota
27037,Dakota County,MN,Minnesota
27049,Goodhue County,MN,Minnesota
27053,Hennepin County,MN,Minnesota
27061,Itasca County,MN,Minnesota
27091,Martin County,MN,Minnesota
27099,Mower County,MN,Minnesota
27103,Nicollet County,MN,Minnesota
27109,Olmsted County,MN,Minnesota
27117,Pipestone County,MN,Minnesota
27123,Ramsey County,MN,Minnesota
27129,Renville County,MN,Minnesota
27137,St. Louis County,MN,Minnesota
27139,Scott County,MN,Minnesota
27141,Sherburne County,MN,Minnesota
27145,Stearns County,MN,Minnesota
27163,Washington County,MN,Minnesota
27169,Winona County,MN,Minnesota
29019,Boone County,MO,Missouri
29021,Buchanan County,MO,Missouri
29023,Butler County,MO,Missouri
29029,Camden County,MO,Missouri
29031,Cape Girardeau County,MO,Missouri
29037,Cass County,MO,Missouri
29047,Clay County,MO,Missouri
29051,Cole County,MO,Missouri
29067,Douglas County,MO,Missouri
29071,Franklin County,MO,Missouri
29073,Gasconade County,MO,Missouri
29077,Greene County,MO,Missouri
29091,Howell County,MO,Missouri
29095,Jackson County,MO,Missouri
29097,Jasper County,MO,Missouri
29099,Jefferson County,MO,Missouri
29101,Johnson County,MO,Missouri
29105,Laclede County,MO,Missouri
29107,Lafayette County,MO,Missouri
29109,Lawrence County,MO,Missouri
29127,Marion County,MO,Missouri
29145,Newton County,MO,Missouri
29155,Pemiscot County,MO,Missouri
29159,Pettis County,MO,Missouri
29161,Phelps County,MO,Missouri
29165,Platte County,MO,Missouri
29167,Polk County,MO,Missouri
29183,St. Charles County,MO,Missouri
29187,St. Francois County,MO,Missouri
29189,St. Louis County,MO,Missouri
29201,Scott County,MO,Missouri
29213,Taney County,MO,Missouri
29225,Webster County,MO,Missouri
29510,St. Louis city,MO,Missouri
28001,Adams County,MS,Mississippi
28003,Alcorn County,MS,Mississippi
28007,Attala County,MS,Mississippi
28011,Bolivar County,MS,Mississippi
28023,Clarke County,MS,Mississippi
28027,Coahoma County,MS,Mississippi
28029,Copiah County,MS,Mississippi
28033,DeSoto County,MS,Mississippi
28035,Forrest County,MS,Mississippi
28039,George County,MS,Mississippi
28043,Grenada County,MS,Mississippi
28045,Hancock County,MS,Mississippi
28047,Harrison County,MS,Mississippi
28049,Hinds County,MS,Mississippi
28051,Holmes County,MS,Mississippi
28057,Itawamba County,MS,Mississippi
28059,Jackson County,MS,Mississippi
28067,Jones County,MS,Mississippi
28071,Lafayette County,MS,Mississippi
28073,Lamar County,MS,Mississippi
28075,Lauderdale County,MS,Mississippi
28077,Lawrence County,MS,Mississippi
28079,Leake County,MS,Mississippi
28081,Lee County,MS,Mississippi
28083,Leflore County,MS,Mississippi
28085,Lincoln County,MS,Mississippi
28087,Lowndes County,MS,Mississippi
28089,Madison County,MS,Mississippi
28091,Marion County,MS,Mississippi
28095,Monroe County,MS,Mississippi
28097,Montgomery County,MS,Mississippi
28099,Neshoba County,MS,Mississippi
28105,Oktibbeha County,MS,Mississippi
28107,Panola County,MS,Mississippi
28109,Pearl River County,MS,Mississippi
28113,Pike County,MS,Mississippi
28117,Prentiss County,MS,Mississippi
28121,Rankin County,MS,Mississippi
28127,Simpson County,MS,Mississippi
28133,Sunflower County,MS,Mississippi
28137,Tate County,MS,Mississippi
28141,Tishomingo County,MS,Mississippi
28149,Warren County,MS,Mississippi
28151,Washington County,MS,Mississippi
28153,Wayne County,MS,Mississippi
28155,Webster County,MS,Mississippi
28159,Winston County,MS,Mississippi
28163,Yazoo County,MS,Mississippi
30013,Cascade County,MT,Montana
30029,Flathead County,MT,Montana
30041,Hill County,MT,Montana
30111,Yellowstone County,MT,Montana
37001,Alamance County,NC,North Carolina
37013,Beaufort County,NC,North Carolina
37019,Brunswick County,NC,North Carolina
37021,Buncombe County,NC,North Carolina
37023,Burke County,NC,North Carolina
37025,Cabarrus County,NC,North Carolina
37027,Caldwell County,NC,North Carolina
37035,Catawba County,NC,North Carolina
37037,Chatham County,NC,North Carolina
37045,Cleveland County,NC,North Carolina
37047,Columbus County,NC,North Carolina
37049,Craven County,NC,North Carolina
37051,Cumberland County,NC,North Carolina
37057,Davidson County,NC,North Carolina
37061,Duplin County,NC,North Carolina
37063,Durham County,NC,North Carolina
37065,Edgecombe County,NC,North Carolina
37067,Forsyth County,NC,North Carolina
37069,Franklin County,NC,North Carolina
37071,Gaston County,NC,North Carolina
37081,Guilford County,NC,North Carolina
37083,Halifax County,NC,North Carolina
37085,Harnett County,NC,North Carolina
37087,Haywood County,NC,North Carolina
37089,Henderson County,NC,North Carolina
37091,Hertford County,NC,North Carolina
37097,Iredell County,NC,North Carolina
37101,Johnston County,NC,North Carolina
37107,Lenoir County,NC,North Carolina
37109,Lincoln County,NC,North Carolina
37111,McDowell County,NC,North Carolina
37119,Mecklenburg County,NC,North Carolina
37125,Moore County,NC,North Carolina
37127,Nash County,NC,North Carolina
37129,New Hanover County,NC,North Carolina
37133,Onslow County,NC,North Carolina
37135,Orange County,NC,North Carolina
37139,Pasquotank County,NC,North Carolina
37147,Pitt County,NC,North Carolina
37151,Randolph County,NC,North Carolina
37155,Robeson County,NC,North Carolina
37159,Rowan County,NC,North Carolina
37161,Rutherford County,NC,North Carolina
37165,Scotland County,NC,North Carolina
37167,Stanly County,NC,North Carolina
37171,Surry County,NC,North Carolina
37179,Union County,NC,North Carolina
37181,Vance County,NC,North Carolina
37183,Wake County,NC,North Carolina
37191,Wayne County,NC,North Carolina
37193,Wilkes County,NC,North Carolina
37195,Wilson County,NC,North Carolina
38015,Burleigh County,ND,North Dakota
38017,Cass County,ND,North Dakota
38035,Grand Forks County,ND,North Dakota
38059,Morton County,ND,North Dakota
38089,Stark County,ND,North Dakota
38101,Ward County,ND,North Dakota
31001,Adams County,NE,Nebraska
31019,Buffalo County,NE,Nebraska
31043,Dakota County,NE,Nebraska
31053,Dodge County,NE,Nebraska
31055,Douglas County,NE,Nebraska
31079,Hall County,NE,Nebraska
31081,Hamilton County,NE,Nebraska
31109,Lancaster County,NE,Nebraska
31111,Lincoln County,NE,Nebraska
31135,Perkins County,NE,Nebraska
31153,Sarpy County,NE,Nebraska
31157,Scotts Bluff County,NE,Nebraska
33011,Hillsborough County,NH,New Hampshire
33013,Merrimack County,NH,New Hampshire
33015,Rockingham County,NH,New Hampshire
34001,Atlantic County,NJ,New Jersey
34003,Bergen County,NJ,New Jersey
34005,Burlington County,NJ,New Jersey
34007,Camden County,NJ,New Jersey
34009,Cape May County,NJ,New Jersey
34011,Cumberland County,NJ,New Jersey
34013,Essex County,NJ,New Jersey
34015,Gloucester County,NJ,New Jersey
34017,Hudson County,NJ,New Jersey
34019,Hunterdon County,NJ,New Jersey
34021,Mercer County,NJ,New Jersey
34023,Middlesex County,NJ,New Jersey
34025,Monmouth County,NJ,New Jersey
34027,Morris County,NJ,New Jersey
34029,Ocean County,NJ,New Jersey
34031,Passaic County,NJ,New Jersey
34033,Salem County,NJ,New Jersey
34035,Somerset County,NJ,New Jersey
34037,Sussex County,NJ,New Jersey
34039,Union County,NJ,New Jersey
34041,Warren County,NJ,New Jersey
35001,Bernalillo County,NM,New Mexico
35005,Chaves County,NM,New Mexico
35013,Dona Ana County,NM,New Mexico
35031,McKinley County,NM,New Mexico
35043,Sandoval County,NM,New Mexico
35045,San Juan County,NM,New Mexico
35049,Santa Fe County,NM,New Mexico
32003,Clark County,NV,Nevada
32031,Washoe County,NV,Nevada
32510,Carson City,NV,Nevada
36001,Albany County,NY,New York
36005,Bronx County,NY,New York
36007,Broome County,NY,New York
36009,Cattaraugus County,NY,New York
36015,Chemung County,NY,New York
36021,Columbia County,NY,New York
36027,Dutchess County,NY,New York
36029,Erie County,NY,New York
36035,Fulton County,NY,New York
36043,Herkimer County,NY,New York
36047,Kings County,NY,New York
36053,Madison County,NY,New York
36055,Monroe County,NY,New York
36059,Nassau County,NY,New York
36061,New York County,NY,New York
36063,Niagara County,NY,New York
36065,Oneida County,NY,New York
36067,Onondaga County,NY,New York
36069,Ontario County,NY,New York
36071,Orange County,NY,New York
36073,Orleans County,NY,New York
36077,Otsego County,NY,New York
36079,Putnam County,NY,New York
36081,Queens County,NY,New York
36083,Rensselaer County,NY,New York
36085,Richmond County,NY,New York
36087,Rockland County,NY,New York
36093,Schenectady County,NY,New York
36101,Steuben County,NY,New York
36103,Suffolk County,NY,New York
36105,Sullivan County,NY,New York
36107,Tioga County,NY,New York
36111,Ulster County,NY,New York
36113,Warren County,NY,New York
36115,Washington County,NY,New York
36119,Westchester County,NY,New York
39003,Allen County,OH,Ohio
39007,Ashtabula County,OH,Ohio
39017,Butler County,OH,Ohio
39023,Clark County,OH,Ohio
